bibtex_key,title,authors,institutions,year,journal,publisher,keywords,bibtex_file,pdf_file,has_pdf,bibtex_keywords,pdf_keywords,abstract,keyword_sources,total_keyword_count,bibtex_keyword_count,pdf_keyword_count,has_abstract
vlachogiannis2009probabilistic,Probabilistic constrained load flow considering integration of wind power generation and electric vehicles,John Vlachogiannis,,2009,IEEE Transactions on Power Systems,IEEE,constrained; control; electric vehicle; flow; load; load flow; number; optimization; period; planning; plug; power; problem; settings; time; transformer; variables; wind,/home/doyooni303/projects/technology-innovation/data/bibs/Probabilistic constrained load flow considering integration of wind power generation and electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Probabilistic constrained load flow considering integration of wind power generation and electric vehicles.pdf,True,electric vehicle,electric vehicle; transformer; optimization; load; control; flow; power; plug; constrained; load flow; variables; settings; number; problem; time; wind; planning; period,,bibtex; pdf,18,1,18,False
flores2023deployment,Deployment of Machine Learning Algorithm to Predict Battery Behavior,Jorge Flores-Triana; Jesus Cinco-Ahumada,,2023,,ITESO,algorithm; algorithms; artificial intelligence; battery; battery management system; bms; cid; cid cid; convolutional neural network; data; deep learning; electric car; layer; learning; machine; machine learning; model; network; neural; neural network; output; soc; soh; specific; state of charge; state of health; training,/home/doyooni303/projects/technology-innovation/data/bibs/Deployment of Machine Learning Algorithm to Predict Battery Behavior.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deployment of Machine Learning Algorithm to Predict Battery Behavior.pdf,True,battery; machine learning,bms; soc; neural network; battery management system; electric car; artificial intelligence; deep learning; machine learning; convolutional neural network; soh; state of health; state of charge; cid; layer; battery; model; cid cid; network; data; algorithm; output; learning; machine; training; algorithms; neural; specific,,bibtex; pdf,27,2,27,False
wang2020joint,Joint charging and relocation recommendation for e-taxi drivers via multi-agent mean field hierarchical reinforcement learning,Enshu Wang; Rong Ding; Zhaoxing Yang; Haiming Jin; Chenglin Miao; Lu Su; Fan Zhang; Chunming Qiao; Xinbing Wang,,2020,IEEE Transactions on Mobile Computing,IEEE,agent; charging; charging station; drivers; fast charging; learning; mfhrl; multi; recommendation; reinforcement; reinforcement learning; relocation; station; taxi; taxi drivers; taxidrivers; taxis; time,/home/doyooni303/projects/technology-innovation/data/bibs/Joint charging and relocation recommendation for e-taxi drivers via multi-agent mean field hierarchical reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Joint charging and relocation recommendation for e-taxi drivers via multi-agent mean field hierarchical reinforcement learning.pdf,True,charging; reinforcement learning,fast charging; charging station; reinforcement learning; charging; taxi; taxis; drivers; relocation; station; taxi drivers; recommendation; multi; agent; learning; taxidrivers; time; reinforcement; mfhrl,,bibtex; pdf,18,2,18,False
shodiev2021machine,Machine learning 3D-resolved prediction of electrolyte infiltration in battery porous electrodes,Abbos Shodiev; Marc Duquesnoy; Oier Arcelus; Mehdi Chouchane; Jianlin Li; Alejandro Franco,,2021,Journal of Power Sources,Elsevier,artificial intelligence; battery; data; electric vehicle; electrode; electrolyte; electrolyte infiltration; electrolyte infiltration is one of the critical steps of the manufacturing process of lithium ion batteries (lib). we; france; infiltration; lbm; learning; machine; machine learning; model; neural network; nmc; one; pore; process; resolved; simulations; soc,/home/doyooni303/projects/technology-innovation/data/bibs/Machine learning 3D-resolved prediction of electrolyte infiltration in battery porous electrodes.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine learning 3D-resolved prediction of electrolyte infiltration in battery porous electrodes.pdf,True,battery; machine learning,electrolyte infiltration is one of the critical steps of the manufacturing process of lithium ion batteries (lib). we; soc; neural network; artificial intelligence; electric vehicle; nmc; electrolyte; machine learning; electrode; infiltration; model; lbm; electrolyte infiltration; pore; process; data; simulations; one; resolved; machine; learning; france,,bibtex; pdf,23,2,22,False
madumathi2024deep,Deep Learning Approach for Predicting Output Current Ripple in Electric Vehicle Chargers,K Madumathi; TS Saravanan; K Khandan; R Raja; Sathish Kannan; others,,2024,,,battery; battery capacity; battery management system; boost; chargers; charging; cnn; converter; convolutional neural network; current; data; deep learning; electric car; electric vehicle; energy storage; lstm; machine learning; model; neural network; output; power; ripple; rnn; training; used,/home/doyooni303/projects/technology-innovation/data/bibs/Deep Learning Approach for Predicting Output Current Ripple in Electric Vehicle Chargers.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep Learning Approach for Predicting Output Current Ripple in Electric Vehicle Chargers.pdf,True,deep learning; electric vehicle,battery capacity; neural network; battery management system; electric car; electric vehicle; lstm; energy storage; deep learning; cnn; machine learning; rnn; convolutional neural network; output; current; ripple; battery; model; chargers; converter; used; data; boost; power; training; charging,,bibtex; pdf,25,2,25,False
tan2023bi,Bi-level optimization of charging scheduling of a battery swap station based on deep reinforcement learning,Mao Tan; Zhuocen Dai; Yongxin Su; Caixue Chen; Ling Wang; Jie Chen,,2023,Engineering Applications of Artificial Intelligence,Elsevier,battery; battery swapping; batteryswappingisbecomingapromising; bss; charging; charging station; china; com; constant; deep learning; electric vehicle; electricity; energy management; max; model; optimization; power; reinforcement learning; scale; scheduling; soc; time; v2g; variable; withtherapidincreaseofinthenumberofelectricvehicle(ev); 𝑆𝑂𝐶,/home/doyooni303/projects/technology-innovation/data/bibs/Bi-level optimization of charging scheduling of a battery swap station based on deep reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Bi-level optimization of charging scheduling of a battery swap station based on deep reinforcement learning.pdf,True,charging; battery; optimization; reinforcement learning,withtherapidincreaseofinthenumberofelectricvehicle(ev); batteryswappingisbecomingapromising; soc; energy management; battery swapping; electric vehicle; charging station; v2g; reinforcement learning; deep learning; optimization; constant; bss; scheduling; charging; variable; model; battery; time; 𝑆𝑂𝐶; max; electricity; scale; power; com; china,,bibtex; pdf,26,4,26,False
bachtin2016comparison,Comparison of electrospun and conventional LiFePO4/C composite cathodes for Li-ion batteries,Krystyna Bachtin; Maximilian Kaus; Lukas Pfaffmann; Sylvio Indris; Michael Knapp; Christina Roth; Helmut Ehrenberg,,2016,Materials Science and Engineering: B,Elsevier,active; active material; anode; carbon; cathode; conductive; electrode; electrodes; electrolyte; electrospun; energy storage; fiber; fibers; fig; germany; layer; lifepo4; material; materials; polymer; separator; use,/home/doyooni303/projects/technology-innovation/data/bibs/Comparison of electrospun and conventional LiFePO4_C composite cathodes for Li-ion batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Comparison of electrospun and conventional LiFePO4_C composite cathodes for Li-ion batteries.pdf,True,,cathode; energy storage; electrolyte; lifepo4; anode; separator; electrode; active; fibers; material; electrodes; carbon; fig; electrospun; polymer; active material; fiber; materials; germany; use; conductive; layer,,pdf,22,0,22,False
senthilkumar2024comparative,Comparative Analysis of Traditional And AI Based Fault Detection for Battery Thermal Management System,KP Senthilkumar; E Anbalagan,,2024,,,anode; artificial intelligence; batteries; battery; battery management system; battery thermal management; bms; cathode; cell; cid; cid cid; cooling; deep learning; electric; electric car; electric vehicle; electrode; electrolyte; heat; ion; iot; lithium-ion battery; machine learning; management; neural network; nmc; pack; separator; soc; soh; state; state of charge; thermal; vehicles; voltage,/home/doyooni303/projects/technology-innovation/data/bibs/Comparative Analysis of Traditional And AI Based Fault Detection for Battery Thermal Management System.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Comparative Analysis of Traditional And AI Based Fault Detection for Battery Thermal Management System.pdf,True,battery,bms; soc; neural network; battery management system; electric car; artificial intelligence; lithium-ion battery; iot; electric vehicle; cathode; nmc; electrolyte; deep learning; machine learning; soh; state of charge; battery thermal management; anode; separator; electrode; cid; cid cid; battery; cell; cooling; thermal; heat; electric; batteries; management; vehicles; pack; ion; state; voltage,,bibtex; pdf,35,1,35,False
qian2018kinetically,Kinetically controlled redox behaviors of K 0.3 MnO 2 electrodes for high performance sodium-ion batteries,Jiasheng Qian; Ying San Chui; Guijun Li; Mei Lin; Chi Luk; Chun Mak; Biao Zhang; Feng Yan; Shu Lau,,2018,Journal of Materials Chemistry A,Royal Society of Chemistry,carbon; cathode; could; electrode; electrodes; electrolyte; fig; high; ion; mass; materials; mno; mno nanosheets; nanosheets; optimization; performance; redox; slurry,/home/doyooni303/projects/technology-innovation/data/bibs/Kinetically controlled redox behaviors of K 0.3 MnO 2 electrodes for high performance sodium-ion batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Kinetically controlled redox behaviors of K 0.3 MnO 2 electrodes for high performance sodium-ion batteries.pdf,True,,cathode; electrolyte; optimization; electrode; mno; nanosheets; fig; could; performance; mass; mno nanosheets; redox; materials; carbon; slurry; electrodes; high; ion,,pdf,18,0,18,False
tuchnitz2021development,Development and evaluation of a smart charging strategy for an electric vehicle fleet based on reinforcement learning,Felix Tuchnitz; Niklas Ebell; Jonas Schlund; Marco Pruckner,,2021,Applied Energy,Elsevier,battery swapping; charging; charging coordination; charging station; coordination; data; electric; electric car; electric vehicle; energy; evs; fast charging; governments are currently subsidizing growth in the electric car market and the associated infrastructure; grid; iot; learning; machine learning; neural network; optimization; reinforcement; reinforcement learning; renewable energy; smart; smart charging; smart grid; soc; transformer; use; v2g; vehicle-to-grid,/home/doyooni303/projects/technology-innovation/data/bibs/Development and evaluation of a smart charging strategy for an electric vehicle fleet based on reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Development and evaluation of a smart charging strategy for an electric vehicle fleet based on reinforcement learning.pdf,True,charging; electric vehicle; reinforcement learning,governments are currently subsidizing growth in the electric car market and the associated infrastructure; soc; neural network; electric car; fast charging; smart grid; iot; battery swapping; renewable energy; electric vehicle; charging station; v2g; reinforcement learning; machine learning; transformer; vehicle-to-grid; optimization; charging; evs; grid; learning; coordination; electric; smart; charging coordination; reinforcement; energy; data; smart charging; use,,bibtex; pdf,30,3,30,False
