bibtex_key,title,authors,institutions,year,journal,publisher,keywords,bibtex_file,pdf_file,has_pdf
vlachogiannis2009probabilistic,Probabilistic constrained load flow considering integration of wind power generation and electric vehicles,['John Vlachogiannis'],[],2009,IEEE Transactions on Power Systems,IEEE,['electric vehicle'],/home/doyooni303/projects/technology-innovation/data/bibs/Probabilistic constrained load flow considering integration of wind power generation and electric vehicles.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Probabilistic constrained load flow considering integration of wind power generation and electric vehicles.pdf,True
flores2023deployment,Deployment of Machine Learning Algorithm to Predict Battery Behavior,"['Jorge Flores-Triana', 'Jesus Cinco-Ahumada']",[],2023,,ITESO,"['machine learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Deployment of Machine Learning Algorithm to Predict Battery Behavior.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deployment of Machine Learning Algorithm to Predict Battery Behavior.pdf,True
wang2020joint,Joint charging and relocation recommendation for e-taxi drivers via multi-agent mean field hierarchical reinforcement learning,"['Enshu Wang', 'Rong Ding', 'Zhaoxing Yang', 'Haiming Jin', 'Chenglin Miao', 'Lu Su', 'Fan Zhang', 'Chunming Qiao', 'Xinbing Wang']",[],2020,IEEE Transactions on Mobile Computing,IEEE,"['reinforcement learning', 'charging']",/home/doyooni303/projects/technology-innovation/data/bibs/Joint charging and relocation recommendation for e-taxi drivers via multi-agent mean field hierarchical reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Joint charging and relocation recommendation for e-taxi drivers via multi-agent mean field hierarchical reinforcement learning.pdf,True
shodiev2021machine,Machine learning 3D-resolved prediction of electrolyte infiltration in battery porous electrodes,"['Abbos Shodiev', 'Marc Duquesnoy', 'Oier Arcelus', 'Mehdi Chouchane', 'Jianlin Li', 'Alejandro Franco']",[],2021,Journal of Power Sources,Elsevier,"['machine learning', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Machine learning 3D-resolved prediction of electrolyte infiltration in battery porous electrodes.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Machine learning 3D-resolved prediction of electrolyte infiltration in battery porous electrodes.pdf,True
madumathi2024deep,Deep Learning Approach for Predicting Output Current Ripple in Electric Vehicle Chargers,"['K Madumathi', 'TS Saravanan', 'K Khandan', 'R Raja', 'Sathish Kannan', 'others']",[],2024,,,"['deep learning', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Deep Learning Approach for Predicting Output Current Ripple in Electric Vehicle Chargers.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Deep Learning Approach for Predicting Output Current Ripple in Electric Vehicle Chargers.pdf,True
tan2023bi,Bi-level optimization of charging scheduling of a battery swap station based on deep reinforcement learning,"['Mao Tan', 'Zhuocen Dai', 'Yongxin Su', 'Caixue Chen', 'Ling Wang', 'Jie Chen']",[],2023,Engineering Applications of Artificial Intelligence,Elsevier,"['optimization', 'reinforcement learning', 'charging', 'battery']",/home/doyooni303/projects/technology-innovation/data/bibs/Bi-level optimization of charging scheduling of a battery swap station based on deep reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Bi-level optimization of charging scheduling of a battery swap station based on deep reinforcement learning.pdf,True
bachtin2016comparison,Comparison of electrospun and conventional LiFePO4/C composite cathodes for Li-ion batteries,"['Krystyna Bachtin', 'Maximilian Kaus', 'Lukas Pfaffmann', 'Sylvio Indris', 'Michael Knapp', 'Christina Roth', 'Helmut Ehrenberg']",[],2016,Materials Science and Engineering: B,Elsevier,[],/home/doyooni303/projects/technology-innovation/data/bibs/Comparison of electrospun and conventional LiFePO4_C composite cathodes for Li-ion batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Comparison of electrospun and conventional LiFePO4_C composite cathodes for Li-ion batteries.pdf,True
senthilkumar2024comparative,Comparative Analysis of Traditional And AI Based Fault Detection for Battery Thermal Management System,"['KP Senthilkumar', 'E Anbalagan']",[],2024,,,['battery'],/home/doyooni303/projects/technology-innovation/data/bibs/Comparative Analysis of Traditional And AI Based Fault Detection for Battery Thermal Management System.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Comparative Analysis of Traditional And AI Based Fault Detection for Battery Thermal Management System.pdf,True
qian2018kinetically,Kinetically controlled redox behaviors of K 0.3 MnO 2 electrodes for high performance sodium-ion batteries,"['Jiasheng Qian', 'Ying San Chui', 'Guijun Li', 'Mei Lin', 'Chi Luk', 'Chun Mak', 'Biao Zhang', 'Feng Yan', 'Shu Lau']",[],2018,Journal of Materials Chemistry A,Royal Society of Chemistry,[],/home/doyooni303/projects/technology-innovation/data/bibs/Kinetically controlled redox behaviors of K 0.3 MnO 2 electrodes for high performance sodium-ion batteries.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Kinetically controlled redox behaviors of K 0.3 MnO 2 electrodes for high performance sodium-ion batteries.pdf,True
tuchnitz2021development,Development and evaluation of a smart charging strategy for an electric vehicle fleet based on reinforcement learning,"['Felix Tuchnitz', 'Niklas Ebell', 'Jonas Schlund', 'Marco Pruckner']",[],2021,Applied Energy,Elsevier,"['reinforcement learning', 'charging', 'electric vehicle']",/home/doyooni303/projects/technology-innovation/data/bibs/Development and evaluation of a smart charging strategy for an electric vehicle fleet based on reinforcement learning.txt,/home/doyooni303/projects/technology-innovation/data/pdfs/Development and evaluation of a smart charging strategy for an electric vehicle fleet based on reinforcement learning.pdf,True
